id,fecha,usuario,texto
2007602827909382462,2026-01-03 23:59:48+00:00,Annieci123,"@Trumperizar Ignorantes. USA fue a liberar de la opresión de un dictador a su pueblo para que sea libre. Estudien un poco y fíjense los acuerdos de maduro con Cuba, Rusia, China e Irán etc.  Más de 8 millones de venezolanos tuvieron que emigrar. Estudien, relatadoras adiestradas"
2007602826256716190,2026-01-03 23:59:47+00:00,espirituaether,@RebeldeNeurona Maduro mato a Canserbero y Chavez saqueo la tumba de Bolivar bienvenidos al infierno ratas
2007602823341768722,2026-01-03 23:59:47+00:00,EdwinAnguianoA,"@owornat Nuestras opiniones son irrelevantes. La mayoría de venezolanos, los que están dentro y fuera son los que merecen ser escuchados y es a quienes debemos apoyar!  Qué se vayan los gringos y que los venezolanos arreglen su país, el trabajo está hecho Maduro no se hubiera ido solo!"
2007602823203262951,2026-01-03 23:59:47+00:00,Allan________x,JAJAJAJAJAJA COME MRD MADURO
2007531399155462398,2026-01-03 19:15:58+00:00,JackSablier,Resumen del 3 de Enero en Venezuela: https://t.co/xt6UfAayGo
2007602822557405454,2026-01-03 23:59:47+00:00,1PoliticoMas,El excelentísimo presidente de El Salvador @nayibbukele viendo a Maduro y la situación del gobierno de Venezuela https://t.co/1j48TBGKEy
2007602821932401136,2026-01-03 23:59:46+00:00,_lexnardo,maduro fue muy bueno
2007602820955136113,2026-01-03 23:59:46+00:00,Luis31169299227,"@susanantonp Pues mira por donde vas a tener muy mala suerte, a Maduro ya no le vas a volver a ver el pelo y a Ayuso te vas a hartar de verla"
2007602818090406013,2026-01-03 23:59:45+00:00,ClaralucySilva2,"Es verdad,cayó maduro y luego sigue el guerrillero Gustavo Petro y el guerrillero Ivan Cepeda  %!(EXTRA string=ÁNGELES TELEVISIÓN) https://t.co/BZmyL8vsfI"
2007602817746571608,2026-01-03 23:59:45+00:00,BellezzaSublime,El anime de como capturaron a Nicolas Maduro ya esta en produccion. Exito asegurado. https://t.co/wYBLSC0zTI
2007602814160384464,2026-01-03 23:59:45+00:00,tomodachi01010,"@DirkBlumenfeld Me lo imagino.  Además, seguro que los estenógrafos cheles de Maduro y de los chamucos aquí ( que son todos parte de la misma mafia propagandista tankie) deben estar coqueando que escribir para explicar el hecho que su propia gente seguramente lo vendió."
2007602813871034660,2026-01-03 23:59:44+00:00,metropo57986,@ISAZULETA @petrogustavo Bla bla bla … así decían de Maduro
2007602813816439167,2026-01-03 23:59:44+00:00,jaimeguerrero08,"Llegan #NicolasMaduro y su esposa a base militar en #NewYork. Lo reciben agentes del #FBI.  Un avión que transportaba al Presidente Nicolás Maduro, y a su esposa, Cilia Flores, tras ser capturados en Venezuela llegó a la base de la Guardia Nacional Aérea Stewart en Nueva York.  Maduro apareció rodeado de agentes del FBI mientras descendía por la escalerilla de un avión del Gobierno estadounidense en una instalación de la Guardia Nacional del estado de Nueva York. Luego fue escoltado lentamente a lo largo de la pista.  Se espera que el depuesto Presidente sea trasladado en helicóptero a la ciudad de Nueva York, donde enfrenta cargos de narcotráfico y terrorismo."
2007602812734320683,2026-01-03 23:59:44+00:00,3DogFriends,@Shem_Infinite Maduro as the penguin!😂
2007602811538903446,2026-01-03 23:59:44+00:00,0_acano,"@charito9630 @JoseGTorresX el petrismo se quedo sin el subsidio venezolano, cayo maduro y de donde sacaran los 15 mil milloncitos para que cepeda pueda hacer su campaña presidencial?"
2007602809961578659,2026-01-03 23:59:44+00:00,miiiruwu,"@noexisto5_ @cottonfresiaok @MicaSuarez12 De q hablas imbécil si maduro nunca fue presidente electo x dios,sos joda???la gente tuvo que irse a otros países POR HAMBRE de que imperialismo hablas"
2007602809185915163,2026-01-03 23:59:43+00:00,GaleanoHND0,"@pichuzelaya Se llevaron  a la esposa de Maduro, Cilia, ojalá  sea así en HND, que se lleven al Comandante con  la esposa, que también comía de la ""mitad para el Comandante"" @realDonaldTrump  y no se olviden de venir por @MarlonOchoaHN que atacó incendiando la puerta  de la @usembassyhn"
2007602809081082367,2026-01-03 23:59:43+00:00,jlbarros,"Cayó Maduro, pero el régimen continúa. Y continuará mientras le hagan caso a Trump. No ha cambiado nada. Solo cambiaron al monigote de turno."
2007602808565190897,2026-01-03 23:59:43+00:00,Noebang1,"@TinchoSnow_ A mi me da gusto q capturen a Maduro, solo q te va a gobernar otro pais"
2007602807877296406,2026-01-03 23:59:43+00:00,LunaLeopol21628,"@LuciaAlvites Estar en defensa de MADURO el naco dictador que se robó las elecciones, asesino de su pueblo, generador de la peor situación humanitaria de su pueblo con millones de emigrados forzados, te hace ver como una persona miserable. Comenta la vida de los venezolanos migrantes."
2007602807143313666,2026-01-03 23:59:43+00:00,AlejandroSBasso,"A los nuevos expertos en ""derecho internacional"" que salieron a flote en X después del arresto del delincuente Nicolás Maduro:   Pásense un rato por las denuncias con cientos de pruebas en la CPI al propio Maduro y sus secuaces, a ver si así lo siguen defiendiendo. Imbéciles."
2007602807080390884,2026-01-03 23:59:43+00:00,Rodrigogodzilla,¿Se te olvidó que la gente sí actuó por medio de elecciones? ¿Elecciones que Maduro se metió por donde no pasa el Sol?
2007602806652580259,2026-01-03 23:59:43+00:00,nevermimo,@VIRGINI48049938 @EniorJimenez Cualquier persona normal prefiere vivir en la era yanqui que en la era maduro.
2007602805465563215,2026-01-03 23:59:42+00:00,JrNavarret57303,"@VLADIMIR_CERRON En vez de llamar a cualquier Organismo mejor convoca a los #DinamicosDelCentro o a tus congresistas TERRUCOS, MOCHASUELDOS, TRANSFUGAS, CORTAUÑAS ... para que intervengan en defensa de su Camarada Maduro #IzquierdaMiserable #VenezuelaLibre #IzquierdaNefasta https://t.co/7Cb0Ph6Bio"
2007602805415280693,2026-01-03 23:59:42+00:00,GuerreroMiguelE,"@CalltoActivism ¡Insólito! Por más repugnante que haya sido o  sea el gobierno chavista de Nicolas Maduro, esta declaración del presidente Trump viola todas las normas del derecho internacional y las relaciones entre las naciones."
2007602803678871664,2026-01-03 23:59:42+00:00,ferritoo2,los únicos que no salimos hoy somos Maduro y yo
2007602803045503164,2026-01-03 23:59:42+00:00,fabioarevalo,"Maduro es el sujeto más impopular y odiado en el mundo. El bombardeo fue contra su tiranía, para salvar a Venezuela. Al contrario quiénes defiendan dictadura fascista q usa bandera de la muerte (roja con negro), serán más impopulares y odiados. Los buenos políticos son demócratas"
2007375328151515339,2026-01-03 08:55:48+00:00,MoisesNinco_,¿Se dan cuenta cómo las cuentas uribistas celebran el bombardeo contra Venezuela y dicen que Colombia es la que sigue?  Ni un voto más al uribismo anti latinoamericano.
2007602800767996156,2026-01-03 23:59:41+00:00,JPuma1234,"https://t.co/pOfCONY6rX efectivamente, al menos 40 civiles murieron.. y hay gente muy feliz"
2007596354424782970,2026-01-03 23:34:04+00:00,ArrepentidosLLA,El propio The New York Times acaba de confirmar que murieron 40 civiles en la invasión de Donald Trump. Así quedaron las casas de la gente. La mitad de los gobiernos de Latinoamérica se pronunciaron a favor de esto incluyendo Argentina. Increíble https://t.co/vgKlj6Eq9v
2007602800058908952,2026-01-03 23:59:41+00:00,jatirado,"Ayuso califica a Maduro de dictador y respalda a González Urrutia y a María Corina Machado https://t.co/4rCkxn6dbE  La presidenta de la Comunidad de Madrid, Isabel Díaz Ayuso, afirmó que Nicolás Maduro es un “dictador” que ha “secuestrado las urnas y a su pueblo”, al que atribu… https://t.co/5nv1HmORzy"
2007602798612099121,2026-01-03 23:59:41+00:00,rucassa,El Comité Editorial del New York Times dice que el ataque de Estados Unidos a  Venezuela es ilegal e imprudente.  https://t.co/QQXr227VzG
2007448283770245343,2026-01-03 13:45:42+00:00,Linaarangovoz,Era el pueblo venezolano quien tenía que actuar. Solo ellos. Nadie más.
2007602798331097253,2026-01-03 23:59:41+00:00,angelique_niro,"Mis hermanos en Jesucristo, celebren como se les cante el jopo, pero aterricen rápido que Trump no es mejor que Maduro."
2007602797915898267,2026-01-03 23:59:41+00:00,LetrasDeNahuall,"@LOVREGA Otra vez le van pelar la reata.... ANLO no Maduro,... No existe comparación,... Chingateesta"
2007602797752287417,2026-01-03 23:59:41+00:00,Daniel_A_punto,@albertolastiene @GBUforiU @SgtRobertBarnes @ManuelPolo650 @otravoz1 @PuenteUribarri Entran pillan al maduro del palacio presidencial y se lo llevan a nueva york sin que nadie haga nada y piensas que ponen a la tal delsi y dejan  que gobierne como quiera??? O estás muy abducido y o muy listo no eres.  Os han violado y no os habéis enterado
2007602796347163072,2026-01-03 23:59:40+00:00,rafitasen,"@AccionNacional 🤣""Acción Nacional"" se pronuncia por una transición pacífica a la democracia""🤣  Suponiendo sin conceder; pues por más falacias que inventen (como lo hacen aquí con la Pdta. Sheinbaum); Maduro es el Pdte. legítimo de Venezuela. ¡Solo que no tienen los 🥚s para contrariar a Trump!"
2007602795202130344,2026-01-03 23:59:40+00:00,corp_zombies,"@manuelhborbolla Si hay algo peor que EUA en el mundo es la FIFA, es mas fácil sabotear a EUA que a la FIFA.  Maduro pidio a gritos la ayuda militar de Colombia y Brasil y ambos lo dejaron en visto.  A uds les gustan las fantasías caramba."
2007602795059478921,2026-01-03 23:59:40+00:00,mscalmaira2,Quieren el petróleo y te lo hacen pasar por el régimen NARCOTRAFICANTE de MADURO 🤡
2007602794812055663,2026-01-03 23:59:40+00:00,marcela13445872,@ChuchoTrader @dosinaga2 Va a ayudar al Presidente legítimo que no es Maduro Es Gonzales Urrutia El y Corona ganaron las elecciones Maduro es dictadura
2007602793360904650,2026-01-03 23:59:40+00:00,ElOsoCarnoso,Así estoy con los videos de venecos exiliados reaccionando a la captura de Maduro… 💔🥺 https://t.co/oM31zvkeeF
2007602792899522956,2026-01-03 23:59:39+00:00,mia_h2013,@ojocolombia2026 Que aprovechen y lo dejen en la celda de al lado de su ídolo Maduro
2007602790743609666,2026-01-03 23:59:39+00:00,Kata41281930,@juanpabloswett Ahora sin Maduro Todo eso se termina entonces?... JÁ https://t.co/bSCpuMjfr9
2007602789904724317,2026-01-03 23:59:39+00:00,OSAMAROJO,Este debe ser un hijodeputa del régimen de maduro
